censuscode,s_nl,m_nl,s_bu,m_bu,DISTRICT,ST_NM,closed_shrublands,deciduous_broadleaf_forest,deciduous_needleleaf_forest,evergreen_broadleaf_forest,evergreen_needleleaf_forest,grasslands,mixed_forest,open_shrublands,savannas,woody_savannas,sumVegetation,percentageVegetation,water,urban,percentUrban,totalArea,SOL,SOLperUrbanArea,croplands,percentCroplands,barren_or_sparsely_vegetated,No_HH,ELG_POP,BF_RUD,BF_INT,BF_ADV,CHH_RUD,CHH_INT,CHH_ADV,FC_RUD,FC_INT,FC_ADV,MSL_INT,MSL_ADV,MSW_RUD,MSW_INT,MSW_ADV,EMP_AL,EMP_NAL,EMP_UN,District_HHD_Cluster_MSL,District_HHD_Cluster_MSW,District_HHD_Cluster_CHH,District_HHD_Cluster_FC,District_HHD_Cluster_BF,District_HHD_Cluster_EMP
1,207.039305,7.62E-05,107,3.94E-05,Kupwara,Jammu & Kashmir,1811584.835,616326.3906,1437637.891,0,6.14E+08,5.49E+08,3.34E+08,4.06E+07,4520975.797,7.97E+07,1.63E+09,8.10E-01,7838743.831,0,0.00E+00,2.01E+09,7.00E+08,3.48E-01,3.70E+08,1.84E-01,4419190.097,125669,766816,46.7100327,9.37486174,23.62871512,35.96288504,56.75814481,7.280609379,76.70313999,3.898171387,19.15709443,10.98166533,81.83095035,45.30059601,4.82614726,49.87627179,3.339001794,15.93615678,65.84943454,3. Developed,1. Under-Developed,3. Developed,1. Under-Developed,1. Under-Developed,1. High Unemployement
10,36986.96896,0.025757653,8488.380392,0.005911291,Srinagar,Jammu & Kashmir,618936.6094,1859517.521,1028101.543,2269902.266,1.01E+08,3.18E+08,1.79E+08,1.37E+07,6930196.524,5881030.204,6.30E+08,5.91E-01,1115345.282,4.61E+07,4.32E-02,1.07E+09,7.12E+09,1.55E+02,3.85E+08,3.61E-01,4520140.854,1296995,7294369,2.057765219,1.335082402,83.99012957,78.08123956,19.79547061,2.122091604,5.603232395,6.83489466,87.22657797,1.187617146,98.333143,2.473933438,1.905562319,95.61690215,1.195003982,29.22159545,62.59110281,3. Developed,3. Developed,1. Under-Developed,3. Developed,3. Developed,3. High Non-AL
100,247123.3223,0.019468143,61403.07059,0.004837276,Hanumangarh,Rajasthan,0,0,0,0,0,1.67E+07,0,4.00E+09,0,0,4.02E+09,4.05E-01,0,6.02E+07,6.06E-03,9.93E+09,5.65E+10,9.39E+02,5.79E+09,5.84E-01,5.69E+07,404003,1847185,14.02388596,63.10177771,22.59294485,62.23412697,35.14006332,2.635039344,43.78523056,32.33573167,23.73780195,21.83874154,77.19269634,14.69871164,7.53753784,77.75802803,23.33399199,17.0138887,48.51019254,3. Developed,3. Developed,1. Under-Developed,2. Moderately-Developed,2. Moderately-Developed,2. High AL
101,1664816.558,0.043534154,444073.4667,0.011612308,Bikaner,Rajasthan,0,0,0,0,0,1.49E+08,0,1.69E+10,0,0,1.71E+10,5.65E-01,0,1.37E+08,4.55E-03,3.02E+10,6.15E+10,4.48E+02,2.84E+09,9.40E-02,1.02E+10,523670,2648639,36.74936544,8.007118987,47.81057364,58.72565375,38.08835755,3.186280482,41.42993775,16.76475968,41.56733401,28.52707354,69.51609162,22.19665667,8.330880898,69.45791854,16.59195534,20.31786891,53.26380832,2. Moderately-Developed,3. Developed,2. Moderately-Developed,3. Developed,3. Developed,1. High Unemployement
102,405351.329,0.023019735,124378.7686,0.007063419,Churu,Rajasthan,0,0,0,0,0,6.90E+07,0,7.78E+09,0,0,7.85E+09,5.65E-01,0,6.99E+07,5.03E-03,1.39E+10,5.39E+10,7.71E+02,5.94E+09,4.27E-01,4.01E+07,461397,2317401,34.66426245,10.83159708,54.37394825,60.66805007,35.11767068,4.221002954,64.29192951,3.277323433,32.31509459,26.50636653,72.6433282,12.80820248,5.686958086,81.50613181,19.15119567,15.54737398,52.25707592,2. Moderately-Developed,3. Developed,2. Moderately-Developed,1. Under-Developed,3. Developed,1. High Unemployement
103,167877.095,0.022419772,63769.25098,0.008516302,Jhunjhunun,Rajasthan,0,0,0,0,0,6611354.965,0,2.44E+08,0,0,2.51E+08,4.23E-02,0,5.91E+07,9.98E-03,5.92E+09,6.61E+10,1.12E+03,5.61E+09,9.48E-01,0,467593,2271703,41.07781554,5.577009066,53.24648102,73.15516015,24.6873129,2.162323645,53.29332389,5.593562992,40.94613991,19.13368464,80.37147648,11.13424239,23.08742453,65.77477956,15.01904078,16.52971361,54.37141211,3. Developed,3. Developed,1. Under-Developed,1. Under-Developed,3. Developed,1. High Unemployement
104,543117.8767,0.051948925,86523.98431,0.008275971,Alwar,Rajasthan,1325490.531,5751167.594,0,0,0,1983725.328,6.30E+07,1760816.156,0,5.09E+07,1.25E+08,1.50E-02,0,4.10E+07,4.94E-03,8.31E+09,7.47E+10,1.82E+03,8.14E+09,9.80E-01,441692.0313,829507,3934934,59.912387,2.789122575,36.97630942,61.93850709,35.25596613,2.822783533,31.93360671,35.76463333,32.08614092,17.3792836,81.84635368,8.214798428,52.21846868,39.5428387,18.34770291,18.9557436,48.42276897,3. Developed,2. Moderately-Developed,1. Under-Developed,2. Moderately-Developed,1. Under-Developed,2. High AL
105,785782.1485,0.123877355,156758.5882,0.024712752,Bharatpur,Rajasthan,444173.125,0,0,0,0,3.21E+07,0,1.32E+07,0,184050.8137,4.60E+07,9.10E-03,0,5.46E+07,1.08E-02,5.06E+09,3.68E+10,6.74E+02,4.95E+09,9.80E-01,0,557935,2759419,67.22397466,0.563215787,31.8831276,46.80223001,49.45715397,3.740422092,29.58549688,45.22594101,24.95907391,25.43991164,73.7952568,23.95188382,40.50954018,35.5212428,16.59827667,15.38660856,53.12368292,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,1. High Unemployement
106,58968.44537,0.015600007,19265.52941,0.005096665,Dhaulpur,Rajasthan,1144457.656,1180444.997,0,0,0,1.57E+08,0,2.07E+08,0,3.43E+07,4.01E+08,1.32E-01,0,1.07E+07,3.52E-03,3.03E+09,8.03E+09,7.53E+02,2.62E+09,8.64E-01,0,266719,1306944,71.64911124,0.96025705,26.8276332,43.55674924,51.0780878,5.357713924,34.97318826,43.29970193,21.48708191,43.00216895,56.50998279,13.76199446,56.70699163,29.54640727,15.29162688,15.93572487,51.68446391,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,1. High Unemployement
107,153008.2498,0.02484422,48561.61961,0.007885036,Karauli,Rajasthan,2113892.081,1717892.439,0,0,0,5.20E+08,223544.1094,8.40E+08,0,9.83E+07,1.46E+09,2.96E-01,0,7785021.063,1.58E-03,4.94E+09,2.06E+10,2.65E+03,3.47E+09,7.02E-01,445495.625,300435,1401613,78.17699869,2.479170536,18.74687104,37.83950472,57.18772513,4.977860436,49.48654518,34.63872884,15.75161949,43.26675587,56.15504918,22.59677601,51.2580445,26.14566112,21.675384,13.68473323,50.26637167,2. Moderately-Developed,2. Moderately-Developed,3. Developed,2. Moderately-Developed,1. Under-Developed,2. High AL
