system:index,DISTRICT,DT_CEN_CD,PKey,ST_CEN_CD,ST_NM,censuscode,closed_shrublands,deciduous_broadleaf_forest,deciduous_needleleaf_forest,evergreen_broadleaf_forest,evergreen_needleleaf_forest,grasslands,mixed_forest,open_shrublands,savannas,woody_savannas,sumVegetation,percentageVegetation,water,urban,percentUrban,totalArea,censusEmp1,censusEmp2,censusHousehold,censusBathroom,censusFuelCooking,censusWaterSource,censusLightSource,SOL,SOLperUrbanArea,croplands,percentCroplands,barren_or_sparsely_vegetated,unclassified,import_notes,geometry_vertex_count
327,Kupwara,1,101,1,Jammu & Kashmir,1,1811584.835,616326.3906,1437637.891,0,6.14E+08,5.49E+08,3.34E+08,4.06E+07,4520975.797,7.97E+07,1.63E+09,8.10E-01,0.31577691,0,0.00E+00,2.01E+09,11,11,12,12,11,11,14,7.00E+08,3.48E-01,3.70E+08,1.84E-01,4419190.097,0,,100
32,Badgam,2,201,1,Jammu & Kashmir,2,207092.3438,0,206803.3125,620055.8906,1.16E+08,4.61E+08,6.12E+07,3793491.441,25928.89216,1.24E+07,6.55E+08,5.10E-01,0.338038238,4.66E+07,3.63E-02,1.28E+09,11,13,14,12,12,13,14,4.54E+09,9.75E+01,5.74E+08,4.47E-01,7708251.522,0,,63
339,Leh (ladakh),3,301,1,Jammu & Kashmir,3,204743.125,0,0,0,3.10E+07,1.85E+09,1.90E+07,4.76E+07,205235.2188,1835960,1.95E+09,2.43E-02,5.85E-01,1643580.734,2.05E-05,8.02E+10,14,11,13,13,13,11,14,2.19E+09,1.33E+03,7.36E+07,9.17E-04,7.76E+10,0,,3180
284,Kargil,4,401,1,Jammu & Kashmir,4,0,0,0,0,1439941.969,1.92E+09,0,2.23E+07,205550.9688,2056645.469,1.95E+09,1.31E-01,0.453727506,1232402.906,8.28E-05,1.49E+10,11,13,13,14,11,13,14,9.44E+08,7.66E+02,2.40E+07,1.61E-03,1.29E+10,0,,351
451,Punch,5,501,1,Jammu & Kashmir,5,1.84E+07,2073812.047,2489563.219,1867156.5,1.46E+08,3.63E+08,6.56E+08,8533545.202,5809496.969,2.62E+08,1.47E+09,6.11E-01,0.367693502,1243589.703,5.19E-04,2.40E+09,11,13,13,11,11,13,14,4.55E+09,3.66E+03,9.29E+08,3.87E-01,300850.0355,0,,100
465,Rajouri,6,601,1,Jammu & Kashmir,6,4.33E+07,625012.5,416540.8125,416340.3125,3.67E+07,1.45E+08,4.25E+08,1.99E+07,2936608.581,3.18E+08,9.92E+08,5.14E-01,0.526149788,2290281.938,1.19E-03,1.93E+09,11,11,13,11,11,11,14,3.08E+09,1.35E+03,9.35E+08,4.85E-01,0,0,,93
290,Kathua,7,701,1,Jammu & Kashmir,7,2.70E+07,0,1471911.297,209796.5469,2.17E+07,1.54E+08,6.52E+08,1.01E+07,4617001.297,2.15E+08,1.09E+09,4.61E-01,3.10E-01,8208992.484,3.48E-03,2.36E+09,12,13,15,11,11,13,14,1.28E+10,1.56E+03,1.25E+09,5.29E-01,1030627.128,0,,230
53,Baramula,8,801,1,Jammu & Kashmir,8,6392050.625,868918.9301,3098899.489,3299328.344,2.18E+08,3.51E+08,2.08E+08,7660932.663,2109789.832,3.57E+07,8.37E+08,4.72E-01,3.63E-01,3.92E+07,2.21E-02,1.77E+09,11,13,14,14,11,13,14,4.68E+09,1.19E+02,8.86E+08,4.99E-01,826759.9219,0,,101
45,Bandipore,9,901,1,Jammu & Kashmir,9,3743858.306,221962.0579,2673581.203,1441070.531,3.10E+08,1.35E+09,2.32E+08,3.00E+07,2443917.272,2.33E+07,1.95E+09,8.50E-01,3.80E-01,822877.2188,3.58E-04,2.30E+09,11,13,12,12,11,13,14,8.18E+08,9.94E+02,1.52E+08,6.61E-02,1.48E+08,0,,104
551,Srinagar,10,1001,1,Jammu & Kashmir,10,618936.6094,1859517.521,1028101.543,2269902.266,1.01E+08,3.18E+08,1.79E+08,1.37E+07,6930196.524,5881030.204,6.30E+08,5.91E-01,0.329353612,4.61E+07,4.32E-02,1.07E+09,14,13,15,14,13,13,14,7.12E+09,1.55E+02,3.85E+08,3.61E-01,4520140.854,0,,51
