,V_CODE2011,water,nightlights,totalArea,urban,20urban
,245030,321991.3953,8.29E+07,3082975.883,0,0
,244618,37513.39183,6.81E+07,5808136.113,0,0
,244624,38011.01904,6.35E+07,6867453.57,0,0
,245075,61621.08842,5.97E+07,6472981.615,0,0
,245147,404264.6417,5.95E+07,1.27E+07,0,0
,244567,25144.43524,5.86E+07,2692130.617,0,0
,245080,132427.729,5.81E+07,5116324.089,0,0
,244585,3243.750488,5.57E+07,3785524.626,723117.2928,14462345.86
,245078,43771.4284,5.07E+07,6853346.657,0,0
,244576,4662.370984,4.93E+07,3087699.804,0,0
,245113,938110.4908,4.84E+07,3055011.249,105324.2775,2106485.551
,245093,17857.24512,4.83E+07,6311933.342,0,0
,244406,0,4.57E+07,3121546.941,2521.891777,50437.83554
,244562,0,4.53E+07,4076210.231,0,0
,245081,14604.81671,4.39E+07,3737916.126,0,0
,245104,0,4.34E+07,5303283.956,0,0
,245096,142889.9865,4.16E+07,7658093.834,451584.2829,9031685.658
,245020,208428.3541,4.03E+07,1.01E+07,0,0
,245029,586259.1694,4.01E+07,2015844.713,0,0
,245140,0,3.79E+07,5528623.041,84413.78681,1688275.736
,244568,0,3.68E+07,1565539.847,0,0
,244383,1620.697693,3.61E+07,7301897.611,276723.8921,5534477.842
,245127,98833.481,3.57E+07,4510304.411,0,0
,245031,3244.601501,3.46E+07,1237274.844,0,0
,244690,810.6434937,3.44E+07,3995214.806,689150.2224,13783004.45
,244566,26852.93111,3.41E+07,1876456.914,0,0
,245090,4869.093872,3.37E+07,3670558.174,0,0
,244561,0,3.33E+07,4851415.655,0,0
,244949,0,3.32E+07,5067800.994,0,0
,245043,7306.932556,3.29E+07,3800720.459,5490.913797,109818.2759
,245083,811.3258057,3.23E+07,3642141.955,130529.886,2610597.72
,244403,17020.62305,3.18E+07,3673082.125,0,0
,244411,0,3.16E+07,3688312.091,0,0
,244243,43810.92456,3.13E+07,1.09E+07,1759825.385,35196507.7
,244587,0,3.04E+07,2201679.554,794914.5963,15898291.93
,245082,1622.831909,2.97E+07,2956622.31,0,0
,245094,811.6563721,2.90E+07,5653733.834,0,0
,244563,147876.2715,2.90E+07,1820132.63,0,0
,245040,0,2.89E+07,2844121.793,0,0
,244620,9200.637994,2.83E+07,4408049.122,33157.32281,663146.4562
,244686,282116.0008,2.80E+07,3365617.85,0,0
,244255,191763.5106,2.79E+07,4359821.48,0,0
,244564,0,2.76E+07,1090683.225,446487.4416,8929748.832
,245086,0,2.70E+07,3813264.323,0,0
,245126,43240.02284,2.69E+07,4221752.98,162933.6329,3258672.658
,245045,37388.39162,2.60E+07,5854196.025,0,0
,244577,1621.634766,2.56E+07,1573283.008,0,0
,244830,0,2.52E+07,4125196.356,16047.12593,320942.5187
,244734,20267.12769,2.49E+07,8301703.856,0,0
,244615,48686.29401,2.44E+07,6587792.141,0,0
,245032,6644.937202,2.44E+07,1236134.974,0,0
,244248,4048.575806,2.41E+07,3898014.265,22232.75219,444655.0438
,244671,5674.495605,2.35E+07,5399418.836,433271.3848,8665427.695
,245143,40617.6367,2.35E+07,2939602.556,374185.9927,7483719.853
,245051,260918.7804,2.25E+07,7446114.748,0,0
,244617,0,2.25E+07,3566512.093,0,0
,244631,11910.54223,2.24E+07,2726294.918,0,0
,245038,4870.937134,2.22E+07,1496664.785,0,0
,245114,1623.632324,2.20E+07,1648742.2,0,0
,245131,5681.903748,2.20E+07,3177782.231,393108.6315,7862172.629
,244797,1620.200867,2.17E+07,4122638.071,0,0
,245128,10101.47429,2.15E+07,2654257.614,0,0
