PKey,SOL,geometry
1001,136,"<Polygon><outerBoundaryIs><LinearRing><coordinates>74.8566126257,34.1808965607 74.8566126257,34.0910650323 74.9105115427,34.0910650323 74.9105115427,34.1808965607 74.8566126257,34.1808965607 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1001,19,"<Polygon><outerBoundaryIs><LinearRing><coordinates>74.8835620842,34.1000481852 74.8835620842,34.0820818795 74.892545237,34.0820818795 74.892545237,34.1000481852 74.8835620842,34.1000481852 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1001,746,"<Polygon><outerBoundaryIs><LinearRing><coordinates>74.7667810973,34.1808965607 74.7667810973,34.055132421 74.8745789314,34.055132421 74.8745789314,34.1808965607 74.7667810973,34.1808965607 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1001,99,"<Polygon><outerBoundaryIs><LinearRing><coordinates>74.8835620842,34.0730987267 74.8835620842,34.0102166568 74.9464441541,34.0102166568 74.9464441541,34.0730987267 74.8835620842,34.0730987267 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1002,34,"<Polygon><outerBoundaryIs><LinearRing><coordinates>77.2820638928,30.5696691186 77.2820638928,30.5606859657 77.3000301985,30.5606859657 77.3000301985,30.5696691186 77.2820638928,30.5696691186 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1002,11,"<Polygon><outerBoundaryIs><LinearRing><coordinates>77.4707101025,30.5247533544 77.4707101025,30.5157702015 77.4796932553,30.5157702015 77.4796932553,30.5247533544 77.4707101025,30.5247533544 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1002,65,"<Polygon><outerBoundaryIs><LinearRing><coordinates>77.1922323644,30.5337365072 77.1922323644,30.5067870487 77.2371481286,30.5067870487 77.2371481286,30.5337365072 77.1922323644,30.5337365072 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1002,22,"<Polygon><outerBoundaryIs><LinearRing><coordinates>77.6144405479,30.488820743 77.6144405479,30.4708544373 77.6324068536,30.4708544373 77.6324068536,30.488820743 77.6144405479,30.488820743 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1002,154,"<Polygon><outerBoundaryIs><LinearRing><coordinates>77.5695247837,30.4708544373 77.5695247837,30.4259386731 77.6863057707,30.4259386731 77.6863057707,30.4708544373 77.5695247837,30.4708544373 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1003,248,"<Polygon><outerBoundaryIs><LinearRing><coordinates>74.4793202063,30.5067870487 74.4793202063,30.434921826 74.5511854291,30.434921826 74.5511854291,30.5067870487 74.4793202063,30.5067870487 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1003,30,"<Polygon><outerBoundaryIs><LinearRing><coordinates>74.5062696649,30.4259386731 74.5062696649,30.4079723674 74.5242359706,30.4079723674 74.5242359706,30.4259386731 74.5062696649,30.4259386731 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1003,76,"<Polygon><outerBoundaryIs><LinearRing><coordinates>74.6230506518,30.2372924635 74.6230506518,30.1923766993 74.667966416,30.1923766993 74.667966416,30.2372924635 74.6230506518,30.2372924635 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1003,163,"<Polygon><outerBoundaryIs><LinearRing><coordinates>74.4613539007,30.2283093106 74.4613539007,30.1654272407 74.5152528177,30.1654272407 74.5152528177,30.2283093106 74.4613539007,30.2283093106 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1003,77,"<Polygon><outerBoundaryIs><LinearRing><coordinates>74.667966416,29.9857641839 74.667966416,29.9498315725 74.7038990274,29.9498315725 74.7038990274,29.9857641839 74.667966416,29.9857641839 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1006,228,"<Polygon><outerBoundaryIs><LinearRing><coordinates>75.8717088967,29.7432190572 75.8717088967,29.6893201402 75.9166246609,29.6893201402 75.9166246609,29.7432190572 75.8717088967,29.7432190572 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1006,72,"<Polygon><outerBoundaryIs><LinearRing><coordinates>75.5572985473,29.698303293 75.5572985473,29.6623706816 75.5932311587,29.6623706816 75.5932311587,29.698303293 75.5572985473,29.698303293 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1006,36,"<Polygon><outerBoundaryIs><LinearRing><coordinates>75.6920458399,29.5455896947 75.6920458399,29.527623389 75.7100121456,29.527623389 75.7100121456,29.5455896947 75.6920458399,29.5455896947 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1006,337,"<Polygon><outerBoundaryIs><LinearRing><coordinates>75.404584949,29.5366065418 75.404584949,29.4827076248 75.4944164774,29.4827076248 75.4944164774,29.5366065418 75.404584949,29.5366065418 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1006,48,"<Polygon><outerBoundaryIs><LinearRing><coordinates>75.3327197263,29.4018592492 75.3327197263,29.3838929435 75.3506860319,29.3838929435 75.3506860319,29.4018592492 75.3327197263,29.4018592492 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1008,20,"<Polygon><outerBoundaryIs><LinearRing><coordinates>76.9137546263,26.6530144798 76.9137546263,26.6350481741 76.931720932,26.6350481741 76.931720932,26.6530144798 76.9137546263,26.6530144798 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1008,14,"<Polygon><outerBoundaryIs><LinearRing><coordinates>76.9496872377,26.6170818685 76.9496872377,26.5901324099 76.9586703905,26.5901324099 76.9586703905,26.6170818685 76.9496872377,26.6170818685 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1008,36,"<Polygon><outerBoundaryIs><LinearRing><coordinates>76.8688388621,26.5811492571 76.8688388621,26.5631829514 76.9047714735,26.5631829514 76.9047714735,26.5811492571 76.8688388621,26.5811492571 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1008,29,"<Polygon><outerBoundaryIs><LinearRing><coordinates>76.5454453598,26.5721661043 76.5454453598,26.5541997986 76.5634116655,26.5541997986 76.5634116655,26.5721661043 76.5454453598,26.5721661043 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1008,279,"<Polygon><outerBoundaryIs><LinearRing><coordinates>76.6891758053,26.5092840344 76.6891758053,26.4643682702 76.7520578752,26.4643682702 76.7520578752,26.5092840344 76.6891758053,26.5092840344 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1008,21,"<Polygon><outerBoundaryIs><LinearRing><coordinates>76.4556138314,26.302671519 76.4556138314,26.2847052133 76.4735801371,26.2847052133 76.4735801371,26.302671519 76.4556138314,26.302671519 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1008,11,"<Polygon><outerBoundaryIs><LinearRing><coordinates>76.311883386,26.2577557548 76.311883386,26.248772602 76.3298496916,26.248772602 76.3298496916,26.2577557548 76.311883386,26.2577557548 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1008,14,"<Polygon><outerBoundaryIs><LinearRing><coordinates>76.3567991502,26.1140253094 76.3567991502,26.1050421565 76.365782303,26.1050421565 76.365782303,26.1140253094 76.3567991502,26.1140253094 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1008,15,"<Polygon><outerBoundaryIs><LinearRing><coordinates>76.590361124,26.0152106281 76.590361124,26.0062274753 76.6083274297,26.0062274753 76.6083274297,26.0152106281 76.590361124,26.0152106281 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1008,196,"<Polygon><outerBoundaryIs><LinearRing><coordinates>76.3298496916,26.0421600866 76.3298496916,25.9882611696 76.3927317615,25.9882611696 76.3927317615,26.0421600866 76.3298496916,26.0421600866 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1008,12,"<Polygon><outerBoundaryIs><LinearRing><coordinates>76.4466306786,25.9163959468 76.4466306786,25.9163959468 76.4645969843,25.9163959468 76.4645969843,25.9163959468 76.4466306786,25.9163959468 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1009,14,"<Polygon><outerBoundaryIs><LinearRing><coordinates>77.5425753252,28.6293081049 77.5425753252,28.6113417992 77.5605416309,28.6113417992 77.5605416309,28.6293081049 77.5425753252,28.6293081049 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1009,14,"<Polygon><outerBoundaryIs><LinearRing><coordinates>77.5874910894,28.3777798253 77.5874910894,28.3598135197 77.6054573951,28.3598135197 77.6054573951,28.3777798253 77.5874910894,28.3777798253 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1009,14852,"<Polygon><outerBoundaryIs><LinearRing><coordinates>77.3000301985,28.6832070219 77.3000301985,28.2879482969 77.668339465,28.2879482969 77.668339465,28.6832070219 77.3000301985,28.6832070219 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1009,94,"<Polygon><outerBoundaryIs><LinearRing><coordinates>77.551558478,28.1532010043 77.551558478,28.1082852401 77.5785079366,28.1082852401 77.5785079366,28.1532010043 77.551558478,28.1532010043 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
101,20,"<Polygon><outerBoundaryIs><LinearRing><coordinates>74.2637245382,34.4144585346 74.2637245382,34.4054753818 74.2816908438,34.4054753818 74.2816908438,34.4144585346 74.2637245382,34.4144585346 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1010,272,"<Polygon><outerBoundaryIs><LinearRing><coordinates>87.5318412846,25.5930024446 87.5318412846,25.512154069 87.5857402017,25.512154069 87.5857402017,25.5930024446 87.5318412846,25.5930024446 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1019,14,"<Polygon><outerBoundaryIs><LinearRing><coordinates>88.133712525,23.6616245837 88.133712525,23.643658278 88.1426956778,23.643658278 88.1426956778,23.6616245837 88.133712525,23.6616245837 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1019,62,"<Polygon><outerBoundaryIs><LinearRing><coordinates>88.3493081932,23.4280626098 88.3493081932,23.3921299985 88.3852408045,23.3921299985 88.3852408045,23.4280626098 88.3493081932,23.4280626098 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1019,181,"<Polygon><outerBoundaryIs><LinearRing><coordinates>88.4660891801,23.4370457627 88.4660891801,23.3651805399 88.5110049443,23.3651805399 88.5110049443,23.4370457627 88.4660891801,23.4370457627 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1019,14,"<Polygon><outerBoundaryIs><LinearRing><coordinates>88.6277859312,23.3472142343 88.6277859312,23.3292479286 88.6367690841,23.3292479286 88.6367690841,23.3472142343 88.6277859312,23.3472142343 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1019,41,"<Polygon><outerBoundaryIs><LinearRing><coordinates>88.4032071102,23.2663658587 88.4032071102,23.2394164002 88.4481228744,23.2394164002 88.4481228744,23.2663658587 88.4032071102,23.2663658587 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1019,152,"<Polygon><outerBoundaryIs><LinearRing><coordinates>88.5469375557,23.2034837888 88.5469375557,23.1495848718 88.5918533199,23.1495848718 88.5918533199,23.2034837888 88.5469375557,23.2034837888 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1019,70,"<Polygon><outerBoundaryIs><LinearRing><coordinates>88.5110049443,23.1136522604 88.5110049443,23.0687364962 88.5469375557,23.0687364962 88.5469375557,23.1136522604 88.5110049443,23.1136522604 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
