system:index,B1,B10,B10_1,B11,B11_1,B1_1,B2,B2_1,B3,B3_1,B4,B4_1,B5,B5_1,B6,B6_1,B7,B7_1,B8,B8_1,B9,B9_1,BQA,BQA_1,class,stable_lights,.geo
4227_0,0.1435003,311.13654,296.40387,308.49207,294.7795,0.15407014,0.13017769,0.13288884,0.1327293,0.120096765,0.130968,0.10617423,0.2636296,0.23138782,0.21408753,0.18170698,0.17111647,0.11837132,0.09395825,0.100016184,0.0015580632,0.0014874447,2720,2720,2.0,4,
6528_0,0.14580353,314.12762,297.8685,311.60364,296.19257,0.1566583,0.13749383,0.13898739,0.13722286,0.12360715,0.1620842,0.12524335,0.28623286,0.2353742,0.30120385,0.22960289,0.21155849,0.15918697,0.16145194,0.13068742,0.001422579,0.0012494527,2720,2720,2.0,0,
4338_0,0.1430306,315.97437,306.1982,313.10083,302.69934,0.141735,0.12967895,0.122677386,0.12352539,0.108719364,0.13621853,0.10651673,0.20908488,0.20017675,0.2636041,0.22450154,0.211787,0.15904486,0.1245472,0.10153685,0.0014532354,0.0011731397,2720,2720,2.0,0,
4425_0,0.14046472,311.56036,303.00293,309.2863,300.0407,0.1440334,0.12706766,0.12523915,0.12613668,0.11322041,0.12565984,0.10215933,0.2775234,0.25744534,0.27257332,0.21837245,0.184675,0.13108093,0.12774886,0.1145372,0.0014305285,0.0013646735,2720,2720,2.0,0,
6676_0,0.1371268,312.22543,302.61142,309.70627,300.01596,0.13646781,0.124206595,0.11415413,0.11932462,0.09698792,0.1404193,0.08128215,0.23705976,0.23575415,0.24539319,0.16045743,0.16805357,0.095886596,0.1248878,0.090810955,0.0010899254,0.0011970814,2720,2720,2.0,0,
4561_0,0.13869359,311.83362,301.9607,309.38947,299.45374,0.13457642,0.12802134,0.11355559,0.12472885,0.09535988,0.15422508,0.08250318,0.2633089,0.24746165,0.245098,0.14673881,0.15613246,0.08259894,0.1321994,0.08920686,0.0012942873,0.0011013144,2720,2720,2.0,0,
4205_0,0.14911604,312.94644,302.1588,310.6093,299.51724,0.13663541,0.14462008,0.11535122,0.15386178,0.098568074,0.19609655,0.086980276,0.3525015,0.2289547,0.33749226,0.15478323,0.22014314,0.090403944,0.17731798,0.09212775,0.0014078217,0.0011970814,2720,2720,2.0,0,
18158_0,0.14808418,313.1493,296.2975,310.87256,294.668,0.14984578,0.13275188,0.12670104,0.123064764,0.10248535,0.12166476,0.08478469,0.2153069,0.16701096,0.20038106,0.11093407,0.13690673,0.07336106,0.11879702,0.09430437,0.0015806439,8.627155E-4,2720,2720,2.0,6,
3473_0,0.1465294,317.28537,301.87305,313.55576,300.1589,0.13724448,0.12904616,0.1145385,0.11477673,0.09392354,0.104471035,0.073948175,0.14445113,0.1401227,0.120968714,0.08002443,0.09628647,0.051193,0.14020887,0.10917565,0.0010284226,0.0011070038,2720,2720,2.0,3,
3722_0,0.1615273,316.1459,304.43924,312.68246,301.7245,0.16703531,0.14633659,0.14765036,0.13765924,0.13013501,0.13791634,0.12568238,0.2357026,0.21348047,0.23463131,0.19950756,0.18280289,0.14920017,0.13635227,0.1272568,0.0011998272,0.0010578034,2720,2720,2.0,62,
